problem,optimizer,run_idx,fx_best,site
Beer,nlopt_21,8,7201.572019252141,ft3
Beer,nlopt_21,9,7751.533444785612,ft3
Beer,nlopt_21,10,1901.8882601867233,ft3
Beer,nlopt_23,1,4834.773374064275,ft3
Beer,nlopt_23,2,6519.282538677947,ft3
Beer,nlopt_23,3,8979.279626407666,ft3
Beer,nlopt_23,4,-9055.149049010173,ft3
Beer,nlopt_23,5,-10247.33145005799,ft3
Beer,nlopt_23,6,9066.037549403203,ft3
Beer,nlopt_23,7,11299.044636553075,ft3
Beer,nlopt_23,8,11565.9175671511,ft3
Beer,nlopt_23,9,8778.389576559666,ft3
Beer,nlopt_23,10,5550.099600861151,ft3
Beer,nlopt_26,1,16675.778193476846,ft3
Beer,nlopt_26,2,16353.827889172424,ft3
Beer,nlopt_26,3,15041.228474625463,ft3
Beer,nlopt_26,4,13317.849239838159,ft3
Beer,nlopt_26,5,12150.032190669928,ft3
Beer,nlopt_26,6,18735.649407700534,ft3
Beer,nlopt_26,7,9510.347998449663,ft3
Beer,nlopt_26,8,19912.191521138484,ft3
Beer,nlopt_26,9,10760.698948769026,ft3
Beer,nlopt_26,10,15226.05926766141,ft3
Beer,nlopt_28,1,3356.1600065682596,ft3
Beer,nlopt_28,2,1574.736964008181,ft3
Beer,nlopt_28,3,-1240.0001159283354,ft3
Beer,nlopt_28,4,1472.2961307973846,ft3
Beer,nlopt_28,5,4138.3340451853555,ft3
Beer,nlopt_28,6,-3230.431664402756,ft3
Beer,nlopt_28,7,-1792.3041943366861,ft3
Beer,nlopt_28,8,717.9063777026873,ft3
Beer,nlopt_28,9,-10108.5867649462,ft3
Beer,nlopt_28,10,-795.674852915931,ft3
